Title,Alternative Title,Author,AuthorID,Date,Publisher,Media,Features
A Blunt Instrument,,Georgette Heyer,,1938,Hodder & Stoughton,,Hannasyde
"Behold, Here's Poison",,Georgette Heyer,,1936,Hodder & Stoughton,,Hannasyde
Death in the Stocks,,Georgette Heyer,,1935,Longmans and Co,,Hannasyde
Detection Unlimited,,Georgette Heyer,,1953,Willilam Heinemann,,Hemingway
Duplicate Death,,Georgette Heyer,,1951,Willilam Heinemann,,Hemingway
Envious Casca,A Christmas Party,Georgette Heyer,,1941,Hodder & Stoughton,,Hemingway
Footsteps in the Dark,,Georgette Heyer,,1932,Longmans and Co,,
No Wind of Blame,,Georgette Heyer,,1939,Hodder & Stoughton,,Hemingway
Penhallow,,Georgette Heyer,,1942,Willilam Heinemann,,
The Unfinished Clue,,Georgette Heyer,,1934,Longmans and Co,,
They Found Him Dead,,Georgette Heyer,,1937,Hodder & Stoughton,,Hannasyde
Why Shoot a Butler?,,Georgette Heyer,,1933,Longmans and Co,,